number;name;father;mother;family;race;register
64/19;MANANTIALS INTRIGA;COLISEU TE GAM;EL EMPEDRADO SENSATA FIV T.E.;EMPEDRADO INDIGENA;GYR;HGY052600
64/22;MANANTIALS FRUTAL T.E.;JOGRAL FIV DE BRAS.;FD KATHIAWAR RADAR FRUTI FIV T.E.;EL EMPEDRADO TUTI FRUTI T.E.;GYR;HGY081687
656/61;G SAN DIEGO AMETISTA-GEM T.E.;ASTRO FIV CABO VERDE;G SAN DIEGO JADE T.E.;AROEIRA CAL;GYR;HGY072107
68/18;MANANTIALS FELICIDAD ;JAGUAR TE DO GAVIAO; FD KATHIAWAR FAUSTILLA;IMBITUA DE BRASILIA;GYR;HGY065263
68/20;MANANTIALS ELECTRA T.E.;JAGUAR TE DO GAVIAO;FD KATHIAWAR ESTERLINA T.E.;GAMA DOS POCOES;GYR;HGY062419
69/18;MANANTIALES LIBERTAD;GENGIS KHAN DE BRASILIA;LA ESPERANZA UKUMARI;EL TESORO DINASTIA;GYR;HGY048316
73/18;MANANTIALES ILUSIÓN;GENGIS KHAN DE BRASILIA;LA ESPERANZA UKUMARI;EL TESORO DINASTIA;GYR;HGY048459
74/18;MANANTIALES CARMEN;GENGIS KHAN DE BRASILIA;EL TESORO CHISPA;EL TESORO CHISPA;GYR;HGY048460
77/20;COLGANADOS PRIMOROSA;DOM TE SILVANIA;EL TESORO GITANA T.E.;PROFANA DE BRASILIA;GYR;HGY063519
770/23;MANANTIALS CALETA T.E.;GENGIS KHAN DE BRASILIA;ALCARAVAN CALETO T.E.;FD KATHIAWAR ESTRELLA T;GYR;HGY088993
770/4;ALCARAVAN CALETO TE;CADARSO;FD KATHIAWAR ESTRELLA T.E.;FD KATHIAWAR ESTRELLA T.E.;GYR;HGY034864
776/19;V. HERMOSA GITANA;GENGIS KHAN DE BRASILIA;V. HERMOSA JUICIOSA;FASE MUTUM;GYR;HGY049932
80/18;MANANTIALES DALAILA;COLISEU TE GAM;SR TANGO DULCINEA;SR TANGO DULCINEA;GYR;HGY049416
84/19;COLGANADOS PROFECIA ;FARDO FIV F. MUTUM;EL TESORO GITANA;PROFANA DE BRASILIA;GYR;HGY055693
863/21;MANANTIALS LAMADONA T.E.;FARDO FIV F. MUTUM;G SAN DIEGO GALILEA T.E.;LHAMA FIV F.MUTUM;GYR;HGY067229
863/28;G.S DIEGO GALILEA;GENGIS KHAN DE BRASILIA;LHAMA FIV MUTUM;LHAMA MUTUM;GYR;HGY048090
893/59;G SAN DIEGO CASUARINA T.E.;GABINETE SILVANIA;CASSUARINA CAL;CASSUARINA CAL;GYR;HGY061082
897/1/5;V.V MIMOSA;FARDO FIV F. MUTUM;V.V. FIORELA 196;JARRINHA CAL;GYR;HGY014684
9077/22;MANANTIALS GOLOSINA;LIPE FIV F.MUTUM;LIPE FIV F.MUTUM;PROFANA DE BRASILIA;GYR;HGY078962
